type,title,country,date_added,release_year,rating,duration,genre
TV Show,Port Protection Alaska,United States,2021-11-24T00:00:00Z,2015,TV-14,2 Seasons,"Docuseries, Reality, Survival"
TV Show,Secrets of the Zoo: Tampa,United States,2021-11-24T00:00:00Z,2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family"
TV Show,"Dr. Oakley, Yukon Vet",United States,2021-11-17T00:00:00Z,2013,TV-PG,10 Seasons,"Action-Adventure, Animals & Nature, Docuseries"
TV Show,Disney Fancy Nancy,United States,2021-11-12T00:00:00Z,2018,TV-PG,3 Seasons,"Animation, Kids"
TV Show,Disney Fancy Nancy,Canada,2021-11-12T00:00:00Z,2018,TV-PG,3 Seasons,"Animation, Kids"
TV Show,Disney Amphibia,United States,2021-11-03T00:00:00Z,2018,TV-Y7,3 Seasons,"Animation, Comedy, Family"
TV Show,Disney Amphibia,South Korea,2021-11-03T00:00:00Z,2018,TV-Y7,3 Seasons,"Animation, Comedy, Family"
TV Show,Photo Ark,United States,2021-11-03T00:00:00Z,2017,TV-PG,1 Season,"Animals & Nature, Docuseries, Family"
TV Show,PJ Masks,France,2021-10-20T00:00:00Z,2015,TV-Y7,5 Seasons,"Action-Adventure, Animation, Kids"
TV Show,PJ Masks,United Kingdom,2021-10-20T00:00:00Z,2015,TV-Y7,5 Seasons,"Action-Adventure, Animation, Kids"
TV Show,Drain the Oceans,United Kingdom,2021-10-06T00:00:00Z,2017,TV-PG,4 Seasons,"Docuseries, Historical"
TV Show,Drain the Oceans,Australia,2021-10-06T00:00:00Z,2017,TV-PG,4 Seasons,"Docuseries, Historical"
TV Show,IMPACT with Gal Gadot,United States,2021-10-06T00:00:00Z,2021,TV-14,1 Season,Docuseries
TV Show,The Ghost and Molly McGee,United States,2021-10-06T00:00:00Z,2021,TV-Y7,1 Season,"Animation, Buddy, Coming of Age"
TV Show,Disney Vampirina,Ireland,2021-09-29T00:00:00Z,2017,TV-Y7,3 Seasons,"Animation, Fantasy, Kids"
TV Show,Disney Vampirina,United States,2021-09-29T00:00:00Z,2017,TV-Y7,3 Seasons,"Animation, Fantasy, Kids"
TV Show,Disney's Magic Bake-Off,United States,2021-09-29T00:00:00Z,2021,TV-G,1 Season,"Family, Game Show / Competition"
TV Show,Rolie Polie Olie,Canada,2021-09-29T00:00:00Z,1998,TV-Y,5 Seasons,"Animation, Science Fiction"
TV Show,Rolie Polie Olie,United States,2021-09-29T00:00:00Z,1998,TV-Y,5 Seasons,"Animation, Science Fiction"
TV Show,Rolie Polie Olie,France,2021-09-29T00:00:00Z,1998,TV-Y,5 Seasons,"Animation, Science Fiction"
TV Show,The Simpsons,United States,2021-09-29T00:00:00Z,1989,TV-PG,32 Seasons,"Animation, Comedy"
TV Show,Dog: Impossible,United States,2021-09-22T00:00:00Z,2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family"
TV Show,Spidey And His Amazing Friends,United States,2021-09-22T00:00:00Z,2021,TV-Y,1 Season,"Action-Adventure, Animation, Kids"
TV Show,Life Below Zero,United States,2021-09-15T00:00:00Z,2012,TV-14,16 Seasons,"Action-Adventure, Animals & Nature, Docuseries"
TV Show,Miraculous: Tales Of Ladybug & Cat Noir,France,2021-09-15T00:00:00Z,2015,TV-Y7,1 Season,"Action-Adventure, Animation, Fantasy"
TV Show,Miraculous: Tales Of Ladybug & Cat Noir,South Korea,2021-09-15T00:00:00Z,2015,TV-Y7,1 Season,"Action-Adventure, Animation, Fantasy"
TV Show,Miraculous: Tales Of Ladybug & Cat Noir,Japan,2021-09-15T00:00:00Z,2015,TV-Y7,1 Season,"Action-Adventure, Animation, Fantasy"
TV Show,Miraculous: Tales Of Ladybug & Cat Noir,United States,2021-09-15T00:00:00Z,2015,TV-Y7,1 Season,"Action-Adventure, Animation, Fantasy"
TV Show,"Doogie Kamealoha, M.D.",United States,2021-09-08T00:00:00Z,2021,TV-PG,1 Season,"Comedy, Coming of Age, Family"
TV Show,"Mira, Royal Detective",United States,2021-09-08T00:00:00Z,2020,TV-Y,2 Seasons,"Animation, Fantasy, Kids"
